Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor
19,2026-01-25,Fenerbahçe,Göztepe,1 - 1,1.8937999999999997,1.1583,0,0,0,0,5,0,82,0,21,0,8,0
19,2026-01-25,Gaziantep F.K.,Konyaspor,1 - 1,0.7773,1.0933,0,0,0,0,2,0,42,0,15,0,10,0
19,2026-01-24,Kayserispor,İstanbul Başakşehir,0 - 3,0.3576,1.7456,0,0,0,0,2,0,45,0,7,0,10,0
19,2026-01-25,Rizespor,Alanyaspor,1 - 1,0.4278,1.3236999999999999,1,0,0,0,3,0,37,0,6,0,4,0
19,2026-01-24,Samsunspor,Kocaelispor,0 - 0,0.8266,0.38970000000000005,0,0,0,0,1,0,63,0,16,0,9,0
19,2026-01-23,Trabzonspor,Kasımpaşa,2 - 1,1.1544999999999999,0.609,0,0,0,0,3,0,57,0,15,0,3,0
20,2026-01-31,Alanyaspor,Eyüpspor,1 - 3,2.0381,1.0842,0,0,0,0,6,0,42,0,17,0,2,0
20,2026-01-30,Antalyaspor,Trabzonspor,1 - 1,0.23470000000000002,1.9335,0,0,0,0,2,0,31,0,4,0,3,0
20,2026-01-31,Beşiktaş,Konyaspor,2 - 1,1.6415,0.592,1,0,0,0,10,0,60,0,22,0,8,0
20,2026-02-01,Galatasaray,Kayserispor,4 - 0,3.9053,0.2876,0,0,2,0,9,0,67,0,23,0,6,0
20,2026-02-01,Gençlerbirliği,Gaziantep F.K.,2 - 1,1.3467,1.4930999999999999,0,0,0,0,6,0,37,0,13,0,3,0
20,2026-01-31,Göztepe,Fatih Karagümrük,2 - 1,1.1311000000000002,0.8065,0,0,0,0,7,0,44,0,19,0,6,0
20,2026-01-30,Kasımpaşa,Samsunspor,0 - 1,1.1195000000000002,1.1054,0,0,0,0,1,0,52,0,11,0,4,0
20,2026-02-02,Kocaelispor,Fenerbahçe,0 - 2,1.0375,0.8497999999999999,0,0,0,0,1,0,59,0,12,0,8,0
20,2026-01-31,İstanbul Başakşehir,Rizespor,2 - 2,1.1418,0.6256999999999999,0,0,0,0,4,0,57,0,10,0,4,0
21,2026-02-08,Beşiktaş,Alanyaspor,2 - 2,2.2368,0.3403,0,0,1,0,8,0,69,0,20,0,3,0
21,2026-02-08,Eyüpspor,İstanbul Başakşehir,1 - 2,0.7216,2.6746,0,0,0,0,2,0,45,0,6,0,0,0
21,2026-02-07,Fatih Karagümrük,Antalyaspor,1 - 0,2.3659,0.4699,0,0,0,0,5,0,42,0,16,0,9,0
21,2026-02-09,Fenerbahçe,Gençlerbirliği,3 - 1,2.2217,0.9831,0,0,1,0,7,0,63,0,19,0,7,0
21,2026-02-09,Gaziantep F.K.,Kasımpaşa,2 - 1,0.474,0.5111,1,0,0,0,2,0,46,0,4,0,1,0
21,2026-02-09,Kayserispor,Kocaelispor,1 - 2,2.1839,0.8834,0,0,0,0,3,0,57,0,20,0,8,0
21,2026-02-08,Konyaspor,Göztepe,0 - 0,1.1076,0.8963,0,0,0,0,4,0,64,0,11,0,4,0
21,2026-02-08,Rizespor,Galatasaray,0 - 3,0.7248,2.0831999999999997,0,0,0,0,4,0,40,0,15,0,3,0
21,2026-02-07,Samsunspor,Trabzonspor,0 - 3,0.6694,2.5511,0,0,0,0,0,0,53,0,11,0,8,0
22,2026-02-14,Alanyaspor,Konyaspor,2 - 1,1.9753,0.7095,0,0,1,0,6,0,41,0,19,0,4,0
22,2026-02-13,Antalyaspor,Samsunspor,3 - 1,1.1434,2.1325,0,0,0,0,5,0,35,0,13,0,4,0
22,2026-02-13,Galatasaray,Eyüpspor,5 - 1,2.0685000000000002,0.9193,0,0,0,0,9,0,62,0,21,0,12,0
