Hafta,Tarih,Ev Sahibi,Deplasman,Skor,Ev xG,Dep xG,Ev KK,Dep KK,Ev Pen,Dep Pen,Ev İŞ,Dep İŞ,Ev TS,Dep TS,Ev Şut,Dep Şut,Ev Kor,Dep Kor,Ev_Eksik_Hucum,Ev_Eksik_Savunma,Ev_Eksik_Orta,Dep_Eksik_Hucum,Dep_Eksik_Savunma,Dep_Eksik_Orta
12,2025-11-29,Casa Pia,Alverca,0 - 2,0.289,1.1993,1,0,0,0,0,0,52,0,5,0,6,0,0.3,0.0,0.0,0.0,0.0,0.0
12,2025-11-29,Gil Vicente,Tondela,0 - 1,0.6313,0.9245,0,0,0,0,2,0,65,0,15,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-11-29,Moreirense,Famalicão,2 - 2,1.2499,2.0722,1,0,0,0,6,0,48,0,11,0,5,0,0.0,0.0,0.0,4.0,0.0,0.0
12,2025-11-29,Nacional,Benfica,1 - 2,0.4428999999999999,2.8375,0,0,0,0,2,0,30,0,6,0,2,0,0.0,0.0,0.7,27.0,9.0,22.0
12,2025-11-30,Porto,Estoril,1 - 0,1.3662,0.7169000000000001,0,0,0,0,6,0,48,0,12,0,5,0,0.0,13.0,0.0,0.0,0.0,1.0
12,2025-11-30,Rio Ave,Santa Clara,1 - 1,1.6839,1.1174000000000002,0,0,1,0,4,0,58,0,9,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2025-11-30,Sporting CP,Estrela Amadora,4 - 0,1.6163,0.1725,0,0,0,0,6,0,63,0,19,0,5,0,18.0,30.0,10.0,0.0,0.0,0.0
12,2025-11-28,Vitória Guimarães,AVS,4 - 0,1.4346,1.0351,0,0,0,0,4,0,46,0,11,0,7,0,3.0,0.0,0.0,0.0,0.0,0.0
13,2025-12-06,AVS,Rio Ave,1 - 2,0.9715,2.5406000000000004,1,0,0,0,5,0,35,0,9,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
13,2025-12-07,Alverca,Nacional,1 - 0,1.9481,1.1191,0,0,1,0,4,0,50,0,10,0,2,0,0.0,0.0,0.0,0.0,0.0,0.7
13,2025-12-05,Benfica,Sporting CP,1 - 1,1.5697,0.4105999999999999,1,0,0,0,4,0,41,0,10,0,3,0,27.0,9.0,0.0,0.0,35.0,10.0
13,2025-12-07,Estoril,Moreirense,3 - 3,0.7083999999999999,1.4359000000000002,0,0,0,0,5,0,44,0,9,0,1,0,0.0,0.0,6.0,0.0,0.0,0.0
